experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,2,exp2_t27,27,judgment,guarire,ospedale,guarire,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t28,28,judgment,bocca,riverente,riverente,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t29,29,judgment,rasoio,stritolare,stritolare,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t30,30,judgment,ostile,nuvoloso,ostile,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t31,31,judgment,specchio,spirito,spirito,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t32,32,judgment,farfalla,fantasia,fantasia,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t33,33,judgment,lussuria,prateria,lussuria,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t34,34,judgment,lenire,ferite,lenire,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t35,35,judgment,carcere,pena,pena,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t36,36,judgment,paralisi,sedia,paralisi,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t37,37,judgment,sfera,fase,fase,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t38,38,judgment,ulivo,ambizione,ambizione,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t39,39,judgment,appetitoso,pizza,appetitoso,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t40,40,judgment,estasi,sughero,estasi,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t41,41,judgment,grezzo,barile,grezzo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t42,42,judgment,diavolo,prigione,diavolo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t43,43,judgment,pugnale,fortuito,fortuito,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t44,44,judgment,veloce,vespa,veloce,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t45,45,judgment,disprezzo,sorriso,disprezzo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t46,46,judgment,musica,violino,musica,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t47,47,judgment,muscoloso,debole,debole,right,1,mouse,20.0,M,keypress
