experiment,participant_id,trial_id,trial_order,phase_id,stimulus,probe_type,condition,response,accuracy,rt,age,gender,rt_measure
data_DRM,4,recognition_t10,10,recognition,paglia,studied,studied,1,1,1597,28,F,keypress
data_DRM,4,recognition_t11,11,recognition,scomoda,studied,studied,1,1,1249,28,F,keypress
data_DRM,4,recognition_t12,12,recognition,concerto,studied,studied,1,1,920,28,F,keypress
data_DRM,4,recognition_t13,13,recognition,ritmo,studied,studied,1,1,1214,28,F,keypress
data_DRM,4,recognition_t14,14,recognition,strumento,studied,studied,1,1,982,28,F,keypress
data_DRM,4,recognition_t15,15,recognition,arpa,studied,studied,1,1,1299,28,F,keypress
data_DRM,4,recognition_t18,18,recognition,neve,studied,studied,0,0,982,28,F,keypress
data_DRM,4,recognition_t19,19,recognition,tiepido,studied,studied,1,1,1198,28,F,keypress
data_DRM,4,recognition_t20,20,recognition,ira,studied,studied,0,0,1665,28,F,keypress
data_DRM,4,recognition_t21,21,recognition,imbestialire,studied,studied,0,0,3415,28,F,keypress
data_DRM,4,recognition_t22,22,recognition,odio,studied,studied,1,1,1233,28,F,keypress
data_DRM,4,recognition_t24,24,recognition,italia,studied,studied,0,0,1599,28,F,keypress
data_DRM,4,recognition_t25,25,recognition,vento,studied,studied,1,1,1832,28,F,keypress
data_DRM,4,recognition_t26,26,recognition,alza,studied,studied,1,1,1197,28,F,keypress
data_DRM,4,recognition_t27,27,recognition,italiana,studied,studied,1,1,1197,28,F,keypress
data_DRM,4,recognition_t30,30,recognition,scassinare,studied,studied,0,0,947,28,F,keypress
data_DRM,4,recognition_t31,31,recognition,assassino,studied,studied,0,0,1349,28,F,keypress
data_DRM,4,recognition_t32,32,recognition,filo,studied,studied,1,1,1432,28,F,keypress
data_DRM,4,recognition_t33,33,recognition,punta,studied,studied,0,0,816,28,F,keypress
data_DRM,4,recognition_t35,35,recognition,cammello,studied,studied,1,1,2829,28,F,keypress
data_DRM,4,recognition_t36,36,recognition,caldo,studied,studied,0,0,1332,28,F,keypress
data_DRM,4,recognition_t38,38,recognition,buono,studied,studied,0,0,1115,28,F,keypress
data_DRM,4,recognition_t40,40,recognition,foce,studied,studied,1,1,1299,28,F,keypress
data_DRM,4,recognition_t41,41,recognition,diga,studied,studied,0,0,1197,28,F,keypress
data_DRM,4,recognition_t42,42,recognition,torrente,studied,studied,0,0,1349,28,F,keypress
data_DRM,4,recognition_t44,44,recognition,tela,studied,studied,0,0,1065,28,F,keypress
data_DRM,4,recognition_t45,45,recognition,insetto,studied,studied,0,0,1464,28,F,keypress
data_DRM,4,recognition_t46,46,recognition,paura,studied,studied,0,0,898,28,F,keypress
data_DRM,4,recognition_t47,47,recognition,velenoso,studied,studied,1,1,1199,28,F,keypress
data_DRM,4,recognition_t48,48,recognition,puzza,weakly,new,0,1,911,28,F,keypress
data_DRM,4,recognition_t49,49,recognition,accendere,weakly,new,0,1,932,28,F,keypress
data_DRM,4,recognition_t50,50,recognition,astuccio,weakly,new,0,1,1115,28,F,keypress
data_DRM,4,recognition_t51,51,recognition,grafia,weakly,new,0,1,1298,28,F,keypress
data_DRM,4,recognition_t53,53,recognition,comoda,weakly,new,1,0,1037,28,F,keypress
data_DRM,4,recognition_t54,54,recognition,suono,weakly,new,1,0,1330,28,F,keypress
data_DRM,4,recognition_t55,55,recognition,chitarra,weakly,new,0,1,1348,28,F,keypress
data_DRM,4,recognition_t56,56,recognition,naso,weakly,new,0,1,980,28,F,keypress
data_DRM,4,recognition_t57,57,recognition,sciare,weakly,new,0,1,915,28,F,keypress
data_DRM,4,recognition_t58,58,recognition,colpa,weakly,new,0,1,1032,28,F,keypress
data_DRM,4,recognition_t59,59,recognition,malumore,weakly,new,0,1,1063,28,F,keypress
data_DRM,4,recognition_t61,61,recognition,innalzare,weakly,new,0,1,1514,28,F,keypress
data_DRM,4,recognition_t62,62,recognition,pistola,weakly,new,0,1,1146,28,F,keypress
data_DRM,4,recognition_t63,63,recognition,carcere,weakly,new,1,0,2081,28,F,keypress
data_DRM,4,recognition_t64,64,recognition,iniezione,weakly,new,0,1,1131,28,F,keypress
data_DRM,4,recognition_t65,65,recognition,pungere,weakly,new,0,1,948,28,F,keypress
data_DRM,4,recognition_t66,66,recognition,chilo,weakly,new,0,1,1015,28,F,keypress
data_DRM,4,recognition_t67,67,recognition,coltello,weakly,new,0,1,898,28,F,keypress
data_DRM,4,recognition_t68,68,recognition,valle,weakly,new,0,1,1114,28,F,keypress
data_DRM,4,recognition_t69,69,recognition,detriti,weakly,new,0,1,1280,28,F,keypress
data_DRM,4,recognition_t70,70,recognition,fobia,weakly,new,0,1,1248,28,F,keypress
data_DRM,4,recognition_t71,71,recognition,nero,weakly,new,1,0,1281,28,F,keypress
data_DRM,4,recognition_t72,72,recognition,sedia,critical,new,1,0,2731,28,F,keypress
data_DRM,4,recognition_t73,73,recognition,rabbia,critical,new,0,1,1131,28,F,keypress
data_DRM,4,recognition_t74,74,recognition,pane,critical,new,1,0,1398,28,F,keypress
data_DRM,4,recognition_t75,75,recognition,freddo,critical,new,0,1,1380,28,F,keypress
