uniqSubId,vocabulary_score,spelling_score
RHUL_05/12/2012_01:18:51_2-14GB,0.775,0.792683
RHUL_05/12/2012_21:08:14_2-18LD,0.9,0.792683
RHUL_05/13/2012_00:13:37_2-23NS,0.825,0.902439
RHUL_05/14/2012_10:55:12_1-21,0.7,0.780488
RHUL_05/14/2012_11:00:14_1-20,0.7,0.853659
RHUL_05/14/2012_11:55:41_1-24,0.7,0.719512
RHUL_05/14/2012_11:56:09_1-25,0.775,0.902439
RHUL_05/14/2012_12:46:55_1-26,0.675,0.536585
RHUL_05/14/2012_13:03:22_1-27,0.8,0.804878
RHUL_05/14/2012_15:52:15_2-2,0.825,0.756098
RHUL_05/14/2012_15:56:31_2-1,0.825,0.853659
RHUL_05/15/2012_02:13:55_2-27ME,0.825,0.890244
RHUL_05/18/2012_14:53:42_2-4,0.725,0.768293
RHUL_05/18/2012_14:53:57_2-3,0.675,0.695122
RHUL_05/18/2012_16:39:03_2-6TC,0.975,0.804878
RHUL_05/18/2012_16:48:13_2-7RL,0.75,0.804878
RHUL_05/21/2012_00:12:37_3-2LW,0.85,0.743902
RHUL_05/21/2012_10:49:10_2-9MM,0.7,0.853659
RHUL_05/21/2012_11:46:15_2-10EH,0.8,0.878049
RHUL_05/21/2012_11:58:25_2-12KP,0.7,0.743902
RHUL_05/21/2012_12:55:16_2-13MB,0.675,0.768293
RHUL_05/21/2012_14:00:43_2-16CW,0.75,0.768293
RHUL_05/21/2012_14:00:59_2-15JP,0.725,0.743902
RHUL_05/22/2012_09:50:15_2-17ED,0.85,0.829268
RHUL_05/22/2012_10:57:31_2-20AR,0.85,0.865854
RHUL_05/22/2012_10:58:09_2-19AH,0.775,0.756098
RHUL_05/22/2012_11:58:52_2-21AB,0.85,0.743902
RHUL_05/22/2012_11:59:12_2-22HA,0.65,0.634146
RHUL_05/22/2012_13:02:47_2-24LR,0.65,0.780488
RHUL_05/24/2012_14:44:15_2-25LL,0.6,0.817073
RHUL_05/24/2012_14:58:54_2-26MY,0.425,0.621951
RHUL_05/30/2012_12:40:56_2-28CD,0.525,0.573171
RHUL_05/30/2012_12:41:27_3-1HL,0.825,0.902439
RHUL_06/04/2012_21:14:17_3-7AM,0.75,0.853659
RHUL_06/07/2012_12:52:05_3-4ST,0.7,0.780488
RHUL_06/07/2012_12:52:46_3-3SH,0.8,0.902439
RHUL_06/10/2012_02:26:29_3-11SD,0.75,0.658537
RHUL_06/10/2012_03:16:33_3-13LA,0.775,0.853659
RHUL_06/14/2012_09:59:26_3-6AM,0.75,0.695122
RHUL_06/14/2012_10:00:45_3-5JS,0.75,0.804878
RHUL_06/15/2012_10:00:53_3-8MB,0.625,0.743902
RHUL_06/15/2012_11:01:27_3-9GK,0.75,0.890244
RHUL_06/17/2012_01:17:16_3-16NT,0.7,0.865854
RHUL_06/18/2012_15:50:56_3-10IN,0.825,0.804878
RHUL_06/19/2012_15:11:16_3-12MC,0.8,0.817073
RHUL_06/19/2012_16:02:46_3-14RC,0.775,0.804878
RHUL_06/26/2012_13:46:46_3-15JB,0.95,0.768293
RHUL_09/19/2012_04:29:05_3-18,0.775,0.792683
RHUL_09/19/2012_06:16:37_MJ3-21,0.825,0.914634
RHUL_09/19/2012_07:25:58_3-23NC,0.775,0.731707
RHUL_09/21/2012_05:23:51_4-1,0.775,0.804878
RHUL_09/21/2012_06:21:29_4-4,0.75,0.621951
RHUL_09/21/2012_07:22:00_4-8,0.65,0.719512
RHUL_09/21/2012_08:21:59_4-11,0.825,0.878049
RHUL_09/21/2012_09:25:21_4-14,0.65,0.719512
RHUL_10/01/2012_09:55:24_3-17,0.85,0.682927
RHUL_10/01/2012_10:03:43_3-19,0.725,0.707317
RHUL_10/01/2012_11:06:15_3-20,0.675,0.719512
RHUL_10/01/2012_11:55:18_3-22EC,0.775,0.804878
RHUL_10/01/2012_13:00:56_3-24EW,0.725,0.707317
RHUL_10/01/2012_13:06:18_3-26,0.825,0.792683
RHUL_10/03/2012_09:57:45_3-25,0.925,0.926829
RHUL_10/03/2012_09:58:39_3-27,0.8,0.743902
RHUL_10/03/2012_10:51:37_3-28,0.8,0.817073
RHUL_10/03/2012_11:01:21_4-2,0.8,0.841463
RHUL_10/03/2012_11:51:40_4-3,0.725,0.719512
RHUL_10/03/2012_11:51:48_4-5,0.775,0.841463
RHUL_10/03/2012_12:48:15_4-7,0.875,0.914634
RHUL_10/03/2012_12:49:41_4-6,0.825,0.817073
RHUL_10/03/2012_13:49:23_4-10,0.875,0.792683
RHUL_10/03/2012_13:53:53_4-9,0.75,0.780488
RHUL_10/03/2012_14:46:41_4-12,0.625,0.695122
RHUL_10/03/2012_14:48:13_4-13,0.6,0.743902
RHUL_10/03/2012_15:52:09_4-16,0.7,0.804878
RHUL_10/03/2012_15:53:37_4-15,0.825,0.95122
RHUL_10/04/2012_10:50:14_4-17KJ,0.775,0.719512
RHUL_10/04/2012_10:50:25_4-18CW,0.7,0.792683
RHUL_10/04/2012_11:02:43_4-19IS,0.8,0.963415
RHUL_10/04/2012_11:54:04_4-20HS,0.85,0.731707
RHUL_10/04/2012_11:57:29_4-21CG,0.725,0.634146
RHUL_10/04/2012_13:11:21_4-22TC,0.725,0.804878
RHUL_10/04/2012_14:12:41_4-23,0.775,0.829268
RHUL_10/10/2012_14:53:58_4-25,0.9,0.804878
RHUL_10/10/2012_14:56:24_4-24,0.575,0.719512
RHUL_10/10/2012_14:59:30_4-26,0.6,0.731707
RHUL_10/10/2012_15:46:34_4-27,0.85,0.939024
RHUL_10/10/2012_15:48:10_~,0.9,0.756098
RHUL_10/10/2012_15:52:43_Extra-24,0.85,0.914634
RHUL_10/15/2012_15:58:38_5-1,0.6,0.817073
RHUL_10/15/2012_16:58:14_5-7,0.55,0.768293
RHUL_10/15/2012_17:02:03_5-6,0.525,0.597561
RHUL_10/15/2012_17:02:17_5-8,0.625,0.878049
RHUL_10/17/2012_14:48:11_5-2,0.775,0.804878
RHUL_10/17/2012_14:54:39_5-3,0.55,0.707317
RHUL_10/17/2012_15:51:21_5-4,0.575,0.634146
RHUL_10/17/2012_16:15:31_5-5,0.8,0.829268
RHUL_10/17/2012_16:43:57_5-9,0.575,0.756098
RHUL_10/17/2012_17:53:39_5-10,0.725,0.780488
