experiment,participant_id,trial_id,trial_order,phase_id,prime,target,response,response_correct,accuracy,rt,age,gender,hand,rt_measure
semantic_priming,29,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,733.5500000000001,24,F,right,keypress
semantic_priming,44,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,597.475,24,M,right,keypress
semantic_priming,54,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,863.76,26,F,right,keypress
semantic_priming,55,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,686.21,20,F,right,keypress
semantic_priming,66,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,600.825,23,F,left,keypress
semantic_priming,8,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,677.55,21,F,left,keypress
semantic_priming,4,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,733.94,30,M,right,keypress
semantic_priming,41,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,567.915,23,M,right,keypress
semantic_priming,22,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,812.355,23,F,right,keypress
semantic_priming,59,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,934.1899999999999,22,F,right,keypress
semantic_priming,20,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,544.1899999999999,22,F,right,keypress
semantic_priming,18,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,745.3499999999999,23,F,right,keypress
semantic_priming,60,exp1_t2,2,judgment,ulivo,acore,1.0,0,0.0,417.14,20,F,right,keypress
semantic_priming,16,exp1_t2,2,judgment,ulivo,acore,0.0,0,1.0,924.9000000000001,27,F,right,keypress
semantic_priming,59,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,650.515,22,F,right,keypress
semantic_priming,17,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,496.27500000000003,23,F,right,keypress
semantic_priming,26,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,702.13,21,F,right,keypress
semantic_priming,25,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,464.99,21,F,right,keypress
semantic_priming,14,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,602.0,21,M,right,keypress
semantic_priming,71,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,655.045,21,M,right,keypress
semantic_priming,13,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,477.02,20,M,right,keypress
semantic_priming,49,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,547.3900000000001,21,F,right,keypress
semantic_priming,21,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,557.43,24,F,right,keypress
semantic_priming,41,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,611.88,23,M,right,keypress
semantic_priming,18,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,503.90500000000003,23,F,right,keypress
semantic_priming,16,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,601.49,27,F,right,keypress
semantic_priming,61,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,640.715,25,M,right,keypress
semantic_priming,67,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,629.725,24,M,right,keypress
semantic_priming,15,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,553.14,23,F,right,keypress
semantic_priming,50,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,530.0,22,F,right,keypress
semantic_priming,64,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,599.46,24,M,right,keypress
semantic_priming,27,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,508.015,22,F,right,keypress
semantic_priming,8,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,803.8100000000001,21,F,left,keypress
semantic_priming,10,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,547.0500000000001,23,F,right,keypress
semantic_priming,44,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,559.2,24,M,right,keypress
semantic_priming,33,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,1266.0,22,M,right,keypress
semantic_priming,31,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,635.62,27,F,right,keypress
semantic_priming,47,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,529.3149999999999,22,F,right,keypress
semantic_priming,2,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,767.0,27,F,right,keypress
semantic_priming,34,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,576.59,22,F,right,keypress
semantic_priming,4,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,600.17,30,M,right,keypress
semantic_priming,39,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,100.76,28,F,right,keypress
semantic_priming,43,exp1_t3,3,judgment,pugile,adulto,1.0,1,1.0,412.95,22,M,right,keypress
