experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t18,18,word_decoding,palabrostio,insulto,palabra,anger,4806,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t19,19,word_decoding,valacer,cadáver,renacer,sadness,4164,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t20,20,word_decoding,eniecido,enemigo,envejecido,anger,14793,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t21,21,word_decoding,dinería,lotería,dinero,happiness,5884,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t22,22,word_decoding,fumaika,tabaco,fumar,disgust,4724,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_7,exp2_t23,23,word_decoding,plareja,novio,pareja,happiness,3863,18,male,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t0,0,word_decoding,valacer,cadáver,lacer,sadness,5945.8,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t1,1,word_decoding,fierdo,hedor,perder,disgust,10466.4,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t2,2,word_decoding,eniecido,enemigo,nacido,anger,10028.2,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t3,3,word_decoding,argola,pistola,gargola,fear,59413,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t4,4,word_decoding,bendigolo,mendigo,vendido,sadness,37839,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t5,5,word_decoding,dastro,intruso,rastro,fear,18467,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t6,6,word_decoding,flastación,visión,flatulencia,happiness,44052.2,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t7,7,word_decoding,distantación,lejanía,distancia,sadness,9946.4,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t8,8,word_decoding,fumaika,tabaco,fumar,disgust,25225.8,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t9,9,word_decoding,queranza,añoranza,esperanza,sadness,4065.6,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t10,10,word_decoding,furieta,rabia,rabieta,anger,5347.2,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t11,11,word_decoding,chismolo,rumor,chisme,anger,3585.8,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t12,12,word_decoding,plareja,novio,pareja,happiness,3946.2,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t13,13,word_decoding,clespiente,veneno,despierto,fear,25757.6,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t14,14,word_decoding,enjauladero,prisión,carcel,fear,6666.1,27,unspecified,keypress
