participant_id;stimulus;response;accuracy;rt;trial_order;age
30;arancioniere;2;1;419;159;31
30;bianchenza;2;1;632;160;31
30;blueria;2;1;678;161;31
30;biancabile;2;1;432;162;31
30;bianchista;2;1;438;163;31
30;lotteria;2;0;369;164;31
30;blutore;2;1;410;165;31
30;intelligenza;1;1;511;166;31
30;giallista;2;1;510;167;31
30;giallenza;2;1;583;168;31
30;verdiere;2;1;657;169;31
30;responsabile;1;1;575;170;31
30;bluenza;2;1;540;171;31
30;verdoso;2;1;538;172;31
30;rosiere;2;1;426;173;31
30;arancionenza;2;1;495;174;31
30;colpevolezza;1;1;527;175;31
30;mestiere;1;1;672;176;31
30;romanticismo;1;1;538;177;31
30;pericoloso;1;1;455;178;31
30;rosenza;2;1;524;179;31
30;blumento;2;1;552;180;31
30;bianchista;2;1;469;181;31
30;arancionabile;1;0;497;182;31
30;gialloso;2;1;672;183;31
30;famoso;1;1;546;184;31
30;verdezza;1;0;570;185;31
30;gialloso;2;1;858;186;31
30;verdezione;2;1;584;187;31
30;rosismo;2;1;605;188;31
30;verderia;2;1;615;189;31
31;arancionismo;2;1;813;1;31
31;verdenza;2;1;873;2;31
31;giallozione;2;1;901;3;31
31;potenza;1;1;585;4;31
31;bluabile;2;1;712;5;31
31;giallista;2;1;697;6;31
31;gialloso;1;0;613;7;31
31;verdismo;2;1;1023;8;31
31;senatore;1;1;724;9;31
31;verdista;2;1;1070;10;31
31;prezioso;1;1;703;11;31
31;bianchismo;2;1;652;12;31
31;improbabile;1;1;735;13;31
31;imperatore;1;1;686;14;31
31;rososo;2;1;617;15;31
31;biancabile;2;1;760;16;31
31;dolcezza;1;1;704;17;31
31;mestiere;1;1;732;18;31
31;attenzione;1;1;648;19;31
31;riposo;1;1;685;20;31
31;arancionenza;2;1;775;21;31
31;bianchenza;2;1;721;22;31
31;giallozione;2;1;822;23;31
31;giallenza;2;1;670;24;31
31;biancotore;2;1;744;25;31
31;bluista;2;1;941;26;31
31;romanticismo;1;1;1525;27;31
31;bluabile;2;1;833;28;31
31;giallabile;2;1;636;29;31
31;operazione;1;1;785;30;31
31;bluenza;2;1;579;31;31
31;probabile;1;1;934;32;31
31;arancionabile;2;1;729;33;31
31;terrorismo;1;1;728;34;31
31;roseria;2;1;595;35;31
31;bluzione;2;1;620;36;31
31;bluiere;2;1;584;37;31
31;bluiere;2;1;486;38;31
31;chiacchiere;1;1;1175;39;31
31;verdoso;2;1;610;40;31
31;biancoso;2;1;831;41;31
31;verdista;2;1;809;42;31
31;preoccupazione;1;1;659;43;31
31;stazione;1;1;628;44;31
31;rosista;2;1;526;45;31
31;cacciatore;1;1;636;46;31
31;rosismo;2;1;564;47;31
31;rosiere;2;1;581;48;31
31;arancioniere;2;1;690;49;31
31;togliere;2;0;465;50;31
31;verdabile;2;1;509;51;31
31;arancionetore;2;1;636;52;31
31;umorismo;1;1;781;53;31
31;bluoso;2;1;534;54;31
31;colazione;1;1;557;55;31
31;verderia;2;1;573;56;31
