participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus,stimulus_translation,accuracy,rt,rt_measure
11,26,female,16,right,1,naming_11_1_0487,word_naming,DISPIACIUTO,displeased,1,581,voice_onset
11,26,female,16,right,1,naming_11_1_0488,word_naming,AFFASCINARE,fascinate,1,471,voice_onset
11,26,female,16,right,1,naming_11_1_0489,word_naming,NOIA,ennui,1,488,voice_onset
11,26,female,16,right,1,naming_11_1_0490,word_naming,SCHIACCIATO,crushed,1,569,voice_onset
11,26,female,16,right,1,naming_11_1_0491,word_naming,ALLERGIA,allergy,1,507,voice_onset
11,26,female,16,right,1,naming_11_1_0492,word_naming,AGGRESSIONE,assault,1,499,voice_onset
11,26,female,16,right,1,naming_11_1_0493,word_naming,STUPEFATTO,startled,1,480,voice_onset
11,26,female,16,right,1,naming_11_1_0494,word_naming,ABBRACCIO,hug,1,543,voice_onset
11,26,female,16,right,1,naming_11_1_0495,word_naming,BOCCA,mouth,1,551,voice_onset
11,26,female,16,right,1,naming_11_1_0496,word_naming,FERRO,iron,1,499,voice_onset
11,26,female,16,right,1,naming_11_1_0497,word_naming,ASSO,ace,1,456,voice_onset
11,26,female,16,right,1,naming_11_1_0498,word_naming,TAGLIO,cut,1,465,voice_onset
11,26,female,16,right,1,naming_11_1_0499,word_naming,GATTINO,kitten,1,523,voice_onset
11,26,female,16,right,1,naming_11_1_0500,word_naming,ABETE,fir,1,470,voice_onset
11,26,female,16,right,1,naming_11_1_0501,word_naming,BRUCIATURA,burn,1,650,voice_onset
11,26,female,16,right,1,naming_11_1_0502,word_naming,DEMONIO,demon,1,506,voice_onset
11,26,female,16,right,1,naming_11_1_0503,word_naming,POTENTE,powerful,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0504,word_naming,SONTUOSO,lavish,1,487,voice_onset
11,26,female,16,right,1,naming_11_1_0505,word_naming,COMMEDIA,comedy,1,515,voice_onset
11,26,female,16,right,1,naming_11_1_0506,word_naming,INDUSTRIA,industry,1,502,voice_onset
11,26,female,16,right,1,naming_11_1_0507,word_naming,VAGINA,vagina,1,478,voice_onset
11,26,female,16,right,1,naming_11_1_0508,word_naming,CAVALLO,horse,1,477,voice_onset
11,26,female,16,right,1,naming_11_1_0509,word_naming,CICLAMINO,cyclamen,1,518,voice_onset
11,26,female,16,right,1,naming_11_1_0510,word_naming,ECCITAZIONE,excitement,1,503,voice_onset
11,26,female,16,right,1,naming_11_1_0511,word_naming,CATTIVO,evil,1,461,voice_onset
11,26,female,16,right,1,naming_11_1_0512,word_naming,MARGHERITA,daisy,1,525,voice_onset
11,26,female,16,right,1,naming_11_1_0513,word_naming,MURO,wall,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0514,word_naming,VITTIMA,victim,1,889,voice_onset
11,26,female,16,right,1,naming_11_1_0515,word_naming,FALLIMENTO,failure,1,540,voice_onset
11,26,female,16,right,1,naming_11_1_0516,word_naming,INTRUSO,intruder,1,634,voice_onset
11,26,female,16,right,1,naming_11_1_0517,word_naming,PARTE,part,1,505,voice_onset
11,26,female,16,right,1,naming_11_1_0518,word_naming,MOMENTO,moment,1,654,voice_onset
